Rk,Team,G,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
1,Los Angeles Clippers,59,240,42.2,86.9,0.485,14.5,34.5,0.421,27.6,52.4,0.527,16.1,19.3,0.837,9.5,34.8,44.2,24.5,7.2,4.2,13,19.7,115
2,Brooklyn Nets,57,242.2,43.3,87.5,0.495,14.1,36.2,0.391,29.2,51.4,0.568,18,22.4,0.804,9,35.2,44.2,26.8,6.8,5.2,13.9,19.1,118.8
3,Milwaukee Bucks,56,240.4,44.3,91.6,0.484,14.7,37.4,0.393,29.6,54.2,0.546,15.8,20.8,0.759,10.4,37.8,48.2,25.5,8.2,4.5,14.1,17,119.1
4,Utah Jazz,57,241.3,41.3,88.6,0.465,16.9,43.4,0.389,24.4,45.3,0.538,17.6,22.2,0.793,10.8,37.5,48.3,23.5,6.5,5.4,14,18.9,117
5,New Orleans Pelicans,57,242.2,42.3,88.4,0.479,10.7,30.7,0.347,31.7,57.6,0.549,19.2,26,0.738,11.7,35.2,47,26,7.3,4.4,14.4,17.8,114.5
6,Sacramento Kings,57,240.4,42.8,88.8,0.482,11.9,33,0.36,30.9,55.8,0.553,16.9,22.9,0.737,9.6,32.1,41.6,25.4,7.1,4.9,13.2,19.7,114.3
7,Toronto Raptors,58,240,39.7,88.4,0.449,14.8,39.8,0.371,24.9,48.5,0.514,17.8,21.6,0.827,9.3,32.2,41.6,24.1,8.4,5.7,13.5,21.7,112
8,Atlanta Hawks,57,241.8,40.5,87.1,0.465,12.7,33.9,0.375,27.8,53.3,0.522,19.8,24.4,0.811,10.6,34.5,45.2,24.2,6.9,4.8,13.4,19.5,113.5
9,Denver Nuggets,56,242.7,43.5,89.1,0.488,13,33.7,0.385,30.5,55.4,0.551,15.2,19.2,0.791,10.8,33.8,44.6,27.1,8.1,4.4,13.4,18.9,115.3
10,Golden State Warriors,57,240.4,41.2,88.4,0.466,14.1,37.8,0.372,27.1,50.6,0.536,16.6,21.3,0.779,7.9,34.6,42.5,27.5,8.3,4.8,14.9,21.6,113
11,Boston Celtics,57,241.3,41.6,88.5,0.47,13.3,35.5,0.375,28.4,53.1,0.534,16.1,20.9,0.771,10.7,33.5,44.2,23.4,7.8,5.2,14,20.5,112.7
12,Phoenix Suns,56,242.7,43,88,0.489,13,34.6,0.377,30,53.4,0.561,15.4,18.6,0.825,8.7,34.9,43.6,27.2,7.2,4.2,13,19.3,114.4
13,Portland Trail Blazers,56,240.4,40.4,90.7,0.446,15.8,41.9,0.378,24.6,48.8,0.504,17.6,21.4,0.824,10.7,33.2,43.9,20.5,7,5.2,11.4,19.2,114.3
14,Minnesota Timberwolves,58,241.7,40,90.7,0.441,12.8,36.8,0.349,27.1,53.9,0.503,17.4,22.5,0.774,10.2,32.6,42.8,24.9,8.8,5.6,14.3,20.9,110.2
15,Washington Wizards,56,240.9,42,89.6,0.469,10.3,29.9,0.345,31.7,59.7,0.531,19.6,25.8,0.758,9.2,35.4,44.6,24.9,7.2,3.8,14.8,21.8,113.9
16,Indiana Pacers,56,242.7,42.7,90.4,0.472,12.4,34.3,0.36,30.3,56,0.541,16.2,20.5,0.791,9,33.1,42.2,26.8,8.6,6.3,13.8,20.3,113.9
17,Philadelphia 76ers,56,242.2,41.3,86.7,0.476,11,29.9,0.368,30.3,56.8,0.533,20.2,26.4,0.766,10,35.7,45.7,23.2,8.9,6.3,14.9,20.4,113.7
18,Chicago Bulls,56,241.8,42.6,88.9,0.48,12.4,33.7,0.37,30.2,55.2,0.546,14.5,18.1,0.802,9.5,35.1,44.6,26.7,6.7,4.2,15.4,19.1,112.2
19,Los Angeles Lakers,57,242.6,40.8,86,0.475,11.1,31.3,0.356,29.7,54.6,0.543,17.4,23.2,0.747,9.6,35.1,44.8,24.6,7.8,5.4,15.6,19,110.1
20,Memphis Grizzlies,55,241.4,43.1,92,0.469,11.1,30.9,0.36,32,61.1,0.524,16,20.6,0.777,11.2,35.1,46.3,27.1,9.4,4.5,13.2,18.5,113.4
21,Dallas Mavericks,56,240.4,40.7,87.1,0.467,13.7,38.4,0.357,27,48.7,0.554,16.2,20.9,0.776,8.8,34.8,43.6,22.3,5.9,4.5,12.1,19.5,111.3
22,Charlotte Hornets,56,240.9,40.1,87.4,0.459,13.9,37,0.377,26.1,50.4,0.519,16.2,21,0.771,10.4,33.5,43.9,26.7,8,4.8,15.4,18.1,110.2
23,Houston Rockets,57,240.4,39.1,88.2,0.443,13.5,39.8,0.338,25.6,48.4,0.53,16.5,22.3,0.74,9.3,33.1,42.4,23.1,7.6,5.3,14.6,19.7,108.2
24,New York Knicks,58,241.3,39.1,86.6,0.452,11.2,29.4,0.38,28,57.2,0.489,16.7,21.5,0.774,10.3,35.4,45.7,21.1,7.2,5,13.3,20.8,106.1
25,Detroit Pistons,57,242.6,38.6,86.1,0.449,11.9,33.5,0.355,26.7,52.6,0.508,18.4,23.8,0.771,9.9,32.6,42.6,24.4,7.8,5.1,14.8,20.6,107.6
26,San Antonio Spurs,55,242.3,41.8,90.5,0.462,10.4,29.1,0.358,31.3,61.4,0.511,16.7,21.3,0.783,9.3,34.6,43.9,24.6,7.2,5.3,11.5,17.9,110.7
27,Miami Heat,57,241.8,38.4,83.4,0.46,12.6,36.2,0.348,25.8,47.2,0.547,17,21.6,0.786,8,33.9,41.9,26.2,7.7,4.2,14.6,19,106.4
28,Oklahoma City Thunder,57,241.3,38.8,87.3,0.445,12.5,36,0.346,26.4,51.4,0.513,15.2,20.8,0.729,9.3,36.1,45.3,22.3,6.9,4.6,15.9,18.1,105.3
29,Orlando Magic,57,240.9,38.6,89.4,0.432,11.2,32.3,0.348,27.4,57.1,0.479,15.9,20.5,0.777,10.4,35.1,45.5,22.5,7,4.3,12.9,16.9,104.4
30,Cleveland Cavaliers,56,242.2,38.9,86.1,0.452,9.7,28.6,0.34,29.2,57.4,0.508,16.3,22,0.74,10.4,32.2,42.6,23.8,8.2,4.9,15.3,18.5,103.8
,League Average,57,241.4,41.1,88.3,0.465,12.7,34.7,0.367,28.4,53.6,0.529,16.9,21.8,0.778,9.8,34.4,44.2,24.7,7.6,4.9,14,19.4,111.8
